timestamp,image_path,track_id,color,confidence,cx,cy,x,y,w,h,north_m,east_m,lat,lon,altitude_m,intrinsics_source
1783822855.811,detection_logs/frame_1783822855780.jpg,1,blue,0.8249,112.00,26.00,78,0,68,52,3.603,-5.754,0.00003236,-0.00005169,10.00,calibration-file(no-undistort)
1783822855.858,detection_logs/frame_1783822855850.jpg,1,blue,0.5812,111.50,25.24,76,0,70,49,3.608,-5.757,0.00003241,-0.00005172,10.00,calibration-file(no-undistort)
1783822856.006,detection_logs/frame_1783822855996.jpg,1,blue,0.7373,110.23,25.53,75,0,69,52,3.606,-5.767,0.00003239,-0.00005181,10.00,calibration-file(no-undistort)
1783822856.068,detection_logs/frame_1783822856059.jpg,1,blue,0.8449,110.37,32.99,76,1,70,75,3.553,-5.766,0.00003192,-0.00005180,10.00,calibration-file(no-undistort)
1783822856.135,detection_logs/frame_1783822856126.jpg,1,blue,0.6743,114.02,58.15,83,41,69,73,3.374,-5.738,0.00003031,-0.00005155,10.00,calibration-file(no-undistort)
1783822856.201,detection_logs/frame_1783822856191.jpg,1,blue,0.7654,119.64,94.89,90,86,69,73,3.113,-5.696,0.00002797,-0.00005116,10.00,calibration-file(no-undistort)
1783822856.267,detection_logs/frame_1783822856257.jpg,1,blue,0.8385,127.43,138.02,100,133,68,71,2.807,-5.637,0.00002522,-0.00005063,10.00,calibration-file(no-undistort)
1783822856.348,detection_logs/frame_1783822856340.jpg,1,blue,0.8650,135.36,186.00,108,182,66,71,2.466,-5.576,0.00002215,-0.00005009,10.00,calibration-file(no-undistort)
1783822856.423,detection_logs/frame_1783822856411.jpg,1,blue,0.8379,143.55,239.20,116,237,65,70,2.088,-5.514,0.00001876,-0.00004954,10.00,calibration-file(no-undistort)
1783822856.476,detection_logs/frame_1783822856465.jpg,1,blue,0.8970,151.87,298.11,123,298,66,69,1.670,-5.451,0.00001500,-0.00004897,10.00,calibration-file(no-undistort)
1783822856.537,detection_logs/frame_1783822856526.jpg,1,blue,0.8769,158.80,358.65,128,354,64,68,1.239,-5.399,0.00001113,-0.00004850,10.00,calibration-file(no-undistort)
1783822856.602,detection_logs/frame_1783822856592.jpg,1,blue,0.8960,165.06,414.98,132,397,66,69,0.839,-5.351,0.00000754,-0.00004807,10.00,calibration-file(no-undistort)
1783822856.667,detection_logs/frame_1783822856657.jpg,1,blue,0.8550,169.81,461.48,135,426,65,67,0.509,-5.315,0.00000457,-0.00004775,10.00,calibration-file(no-undistort)
1783822856.734,detection_logs/frame_1783822856724.jpg,1,blue,0.8756,172.63,495.77,135,442,66,68,0.265,-5.294,0.00000238,-0.00004756,10.00,calibration-file(no-undistort)
1783822856.800,detection_logs/frame_1783822856790.jpg,1,blue,0.8668,173.89,517.44,135,450,66,67,0.111,-5.284,0.00000100,-0.00004747,10.00,calibration-file(no-undistort)
1783822856.867,detection_logs/frame_1783822856857.jpg,1,blue,0.8098,174.08,529.22,135,454,66,69,0.028,-5.283,0.00000025,-0.00004746,10.00,calibration-file(no-undistort)
1783822856.935,detection_logs/frame_1783822856926.jpg,2,blue,0.8571,165.00,485.00,132,451,66,68,0.342,-5.352,0.00000307,-0.00004808,10.00,calibration-file(no-undistort)
1783822857.004,detection_logs/frame_1783822856993.jpg,2,blue,0.8838,164.24,478.45,131,437,65,70,0.388,-5.357,0.00000349,-0.00004813,10.00,calibration-file(no-undistort)
1783822857.063,detection_logs/frame_1783822857052.jpg,2,blue,0.8914,162.19,458.73,129,412,64,70,0.528,-5.373,0.00000475,-0.00004827,10.00,calibration-file(no-undistort)
1783822857.140,detection_logs/frame_1783822857129.jpg,2,blue,0.8587,159.58,429.81,127,382,63,69,0.734,-5.393,0.00000659,-0.00004844,10.00,calibration-file(no-undistort)
1783822857.206,detection_logs/frame_1783822857197.jpg,2,blue,0.8170,156.07,401.44,123,358,63,68,0.935,-5.419,0.00000840,-0.00004868,10.00,calibration-file(no-undistort)
1783822857.267,detection_logs/frame_1783822857257.jpg,2,blue,0.8492,153.67,378.11,120,340,67,71,1.101,-5.438,0.00000989,-0.00004885,10.00,calibration-file(no-undistort)
1783822857.328,detection_logs/frame_1783822857319.jpg,2,blue,0.8563,150.51,360.50,116,330,67,70,1.226,-5.462,0.00001102,-0.00004906,10.00,calibration-file(no-undistort)
1783822857.397,detection_logs/frame_1783822857387.jpg,2,blue,0.8809,147.57,344.38,114,315,66,70,1.341,-5.484,0.00001204,-0.00004926,10.00,calibration-file(no-undistort)
1783822857.464,detection_logs/frame_1783822857455.jpg,2,blue,0.8855,144.77,325.80,111,291,67,72,1.473,-5.505,0.00001323,-0.00004945,10.00,calibration-file(no-undistort)
1783822857.542,detection_logs/frame_1783822857534.jpg,2,blue,0.8820,142.07,305.09,108,267,68,72,1.620,-5.526,0.00001455,-0.00004964,10.00,calibration-file(no-undistort)
1783822857.599,detection_logs/frame_1783822857589.jpg,2,blue,0.8841,139.65,285.29,105,249,70,72,1.761,-5.544,0.00001582,-0.00004980,10.00,calibration-file(no-undistort)
1783822857.652,detection_logs/frame_1783822857643.jpg,2,blue,0.8596,137.43,270.02,104,240,68,73,1.869,-5.561,0.00001679,-0.00004995,10.00,calibration-file(no-undistort)
1783822857.737,detection_logs/frame_1783822857728.jpg,2,blue,0.8694,136.15,260.87,104,238,68,74,1.934,-5.570,0.00001737,-0.00005004,10.00,calibration-file(no-undistort)
1783822857.807,detection_logs/frame_1783822857795.jpg,2,blue,0.8684,135.16,254.72,103,234,68,72,1.978,-5.578,0.00001777,-0.00005011,10.00,calibration-file(no-undistort)
1783822857.384,detection_logs/frame_1783822857374.jpg,2,blue,0.8988,133.94,247.67,101,222,68,72,2.028,-5.587,0.00001822,-0.00005019,10.00,calibration-file(no-undistort)
1783822857.451,detection_logs/frame_1783822857441.jpg,2,blue,0.8509,132.70,238.61,99,207,69,73,2.092,-5.597,0.00001880,-0.00005028,10.00,calibration-file(no-undistort)
1783822857.529,detection_logs/frame_1783822857521.jpg,2,blue,0.8841,131.84,230.04,98,198,70,73,2.153,-5.603,0.00001934,-0.00005033,10.00,calibration-file(no-undistort)
1783822857.584,detection_logs/frame_1783822857574.jpg,2,blue,0.8766,131.23,225.93,98,199,69,74,2.182,-5.608,0.00001960,-0.00005038,10.00,calibration-file(no-undistort)
